GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Jacoco Report Aggregator/tls-detector-model,com.mikerott.tlsdetector.model.model.error,ErrorObject,30,0,2,0,10,0,5,0,4,0
Jacoco Report Aggregator/tls-detector-model,com.mikerott.tlsdetector.model,BatchRequest,3,7,0,0,1,3,1,2,1,2
Jacoco Report Aggregator/tls-detector-model,com.mikerott.tlsdetector.model,BatchResponse,31,0,0,0,13,0,9,0,9,0
Jacoco Report Aggregator/tls-detector-model,com.mikerott.tlsdetector.model,TLSRequest,10,0,0,0,4,0,3,0,3,0
Jacoco Report Aggregator/tls-detector-model,com.mikerott.tlsdetector.model,TLS,44,0,0,0,2,0,1,0,1,0
Jacoco Report Aggregator/tls-detector-model,com.mikerott.tlsdetector.model,IsHTTPSValidator,0,14,1,3,0,4,1,3,0,2
Jacoco Report Aggregator/tls-detector-core,com.mikerott.tlsdetector,TLSDetectorService.new X509TrustManager() {...},7,0,0,0,4,0,4,0,4,0
Jacoco Report Aggregator/tls-detector-core,com.mikerott.tlsdetector,VersionInfo,33,0,0,0,14,0,7,0,7,0
Jacoco Report Aggregator/tls-detector-core,com.mikerott.tlsdetector,TLSDetectorService,289,0,20,0,62,0,14,0,4,0
Jacoco Report Aggregator/tls-detector-app,com.mikerott.tlsdetector,TLSDetectorApp,20,0,0,0,6,0,2,0,2,0
Jacoco Report Aggregator/tls-detector-app,com.mikerott.tlsdetector,SwaggerConfig,71,0,0,0,10,0,3,0,3,0
Jacoco Report Aggregator/tls-detector-app,com.mikerott.tlsdetector,TLSDetectorController,27,0,0,0,5,0,3,0,3,0
Jacoco Report Aggregator/tls-detector-app,com.mikerott.tlsdetector,ProjectManagerExceptionHandler,212,0,10,0,36,0,12,0,7,0
Jacoco Report Aggregator/tls-detector-app,com.mikerott.tlsdetector.responsemodel,ErrorResponse,10,0,0,0,4,0,3,0,3,0
Jacoco Report Aggregator/tls-detector-app,com.mikerott.tlsdetector.responsemodel,InfoResponse,25,0,0,0,8,0,5,0,5,0
Jacoco Report Aggregator/tls-detector-app,com.mikerott.tlsdetector.responsemodel,ErrorObjectResponse,26,0,2,0,12,0,7,0,6,0
Jacoco Report Aggregator/tls-detector-app,com.mikerott.tlsdetector.responsemodel.errors,ErrorResource,10,0,0,0,4,0,3,0,3,0
Jacoco Report Aggregator/tls-detector-app,com.mikerott.tlsdetector.responsemodel.errors,BadRequestErrorResource,10,0,0,0,4,0,3,0,3,0
Jacoco Report Aggregator/tls-detector-app,com.mikerott.tlsdetector.responsemodel.errors,PayloadErrorResource,31,0,0,0,13,0,9,0,9,0
Jacoco Report Aggregator/tls-detector-app,com.mikerott.tlsdetector.config,AppConfig,64,0,0,0,18,0,4,0,4,0
